test,shuffle,circular_shift
fisher_stat_obs,37.66515631297705,31.321919650390253
fisher_p_asymptotic,0.03750848204725021,0.14471588766064228
fisher_p_permutation,0.0704647676161919,0.18290854572713644
fisher_null_mean,23.943366822844293,23.943366822844297
fisher_null_sd,8.607173050088688,8.500518740780874
fisher_vif_sd,1.2423384193575993,1.2269441958103242
fisher_vif_var,1.5434047482119377,1.505392059632643
simes_p,0.20241,0.38976
simes_p_permutation,0.18690654672663667,0.36231884057971014
binomial_p,0.45963991233736307,0.45963991233736307
ks_p,0.084165919710254,0.269506910494714
count_test_p,0.026486756621689155,0.09745127436281859
