iso3,series,p,stationary
NAM,log_tiv_AIR,0.07272093735697853,False
NAM,log_tiv_MISSILES,0.00034496544058510776,True
NAM,log_tiv_NAVAL,1.1650540459503946e-08,True
NAM,log_tiv_GROUND,0.1564214801566699,False
NAM,log_part_n_minor,0.13057029861786174,False
NAM,log_part_n_war,0.0,True
NAM,log_part_n_extraterritorial,0.4928909063643133,False
KOR,log_tiv_AIR,7.310928020624059e-08,True
KOR,log_tiv_MISSILES,0.748910738789565,False
KOR,log_tiv_NAVAL,0.001926218392336982,True
KOR,log_tiv_GROUND,0.9270204939989696,False
KOR,log_part_n_minor,0.09357808246802496,False
KOR,log_part_n_war,0.08199560471152562,False
KOR,log_part_n_extraterritorial,0.1661598746735235,False
TGO,log_tiv_AIR,0.8288153696157787,False
TGO,log_tiv_NAVAL,2.570971969923199e-07,True
TGO,log_tiv_GROUND,0.0001873268008684205,True
TGO,log_part_n_minor,0.8835333149060853,False
TGO,log_part_n_war,2.570971969923199e-07,True
TGO,log_part_n_extraterritorial,0.7683307487713436,False
RUS,log_tiv_AIR,0.0037374857674070633,True
RUS,log_tiv_MISSILES,0.04796653775023329,True
RUS,log_tiv_NAVAL,0.004695570028867617,True
RUS,log_tiv_GROUND,0.03175346500199585,True
RUS,log_part_n_minor,0.7508049442531441,False
RUS,log_part_n_war,0.0021034024374759447,True
RUS,log_part_n_extraterritorial,0.29958682107977186,False
BFA,log_tiv_AIR,0.0005489323474432784,True
BFA,log_tiv_MISSILES,4.696825693633047e-07,True
BFA,log_tiv_GROUND,0.9989904307577709,False
BFA,log_part_n_minor,0.8302132669538748,False
BFA,log_part_n_war,0.2927073706317624,False
BFA,log_part_n_extraterritorial,0.7912195287669276,False
BGR,log_tiv_AIR,0.2726815098541914,False
BGR,log_tiv_MISSILES,6.237679658263681e-07,True
BGR,log_tiv_NAVAL,4.0293924841998586e-05,True
BGR,log_tiv_GROUND,2.2462186610302117e-05,True
BGR,log_part_n_minor,0.14539117484259312,False
BGR,log_part_n_war,0.3513646663451288,False
BGR,log_part_n_extraterritorial,0.5319186109356278,False
CIV,log_tiv_AIR,0.01780322161370425,True
CIV,log_tiv_MISSILES,2.5709719699232746e-07,True
CIV,log_tiv_NAVAL,0.14512128410854147,False
CIV,log_tiv_GROUND,0.03667656116899323,True
CIV,log_part_n_minor,0.6023798862442225,False
CIV,log_part_n_war,2.570971969923199e-07,True
CIV,log_part_n_extraterritorial,0.5116810205728156,False
SSD,log_tiv_AIR,0.0002500147351175277,True
SSD,log_tiv_MISSILES,2.570971969923251e-07,True
SSD,log_tiv_GROUND,0.00013404160725130415,True
SSD,log_part_n_minor,0.08933101083231865,False
SSD,log_part_n_war,2.570971969923175e-07,True
SSD,log_part_n_extraterritorial,3.450395129770744e-05,True
PRT,log_tiv_AIR,0.02966017805007343,True
PRT,log_tiv_MISSILES,0.018811304603957944,True
PRT,log_tiv_NAVAL,0.005518543557869523,True
PRT,log_tiv_GROUND,0.00399369424773112,True
PRT,log_part_n_minor,0.10732371711388383,False
PRT,log_part_n_war,0.010455985019159682,True
PRT,log_part_n_extraterritorial,0.10597142573210233,False
MUS,log_tiv_AIR,4.424942910812784e-09,True
MUS,log_tiv_NAVAL,4.8362678906288686e-06,True
BRA,log_tiv_AIR,0.0009340725442477177,True
BRA,log_tiv_MISSILES,0.054033642984442506,False
BRA,log_tiv_NAVAL,9.41883001386462e-10,True
BRA,log_tiv_GROUND,0.03241299860482555,True
BRA,log_part_n_minor,0.6539986239779725,False
